source,target,weight
1stmay,labourday2020,1
2019ncov,who,1
25_april,عهد_الانهيار,1
30minutesrahulscam,rahulgandhi,1
3dprinting,bioprinting,1
aaj_tak,pmmodi,1
aaj_tak,pmonabp,1
aamirkhan,covidー19,1
aaradhyabachchan,abhishekbachchan,1
aaradhyabachchan,aishwaryaraibachchan,1
aaradhyabachchan,coronavirus,1
aaradhyabachchan,covid_19,1
aarogyasetuapp,covid19,1
aarogyasetuapp,goi,1
abhinhitokabhinahi,पूछता_है_उपेक्षित_आयुर्वेद,1
abhishekbachchan,covid_19,1
active,chennai,1
active,covid,1
active,covid_19,1
adamlambert,christinaaguilera,1
aden,taiz,1
aden,yemen,1
afghanistan,kabul,1
africa,coronavirus,1
agerelaxation4ews,ews,3
ahmedabad,gujarat,2
ahmedabad,shashankpandya,1
ai,fintech,1
air,fmrainbow,1
air,goa,1
air,quarantine,1
aishwaryaraibachchan,abhishekbachchan,1
aishwaryaraibachchan,covid_19,1
ajattapareng,parepare,1
ajaydevgn,ajaydevgn,1
ajaydevgn,akki,1
ajaydevgn,akkians,1
ajaydevgn,laxxmibomb,1
ajaydevgn,singham,2
ajaydevgn,soorvanshi,1
akki,ajaydevgn,1
akki,akkians,1
akki,laxxmibomb,1
akki,singham,1
akki,soorvanshi,1
akkians,ajaydevgn,1
akkians,laxxmibomb,1
akkians,singham,1
akkians,soorvanshi,1
akshaykumar,ajaydevgn,2
akshaykumar,akki,1
akshaykumar,akkians,1
akshaykumar,laxxmibomb,1
akshaykumar,singham,1
akshaykumar,soorvanshi,1
alhamdulillah,quran,1
alhamdulillah,ramadan,1
ambassadorsofhope,sangrur,1
andheri,mumbai,1
andhrafightscorona,covid_19,1
andhrapradesh,coronavirusoutbreak,1
andhrapradesh,kerala,1
andhrapradesh,telangana,1
andhrapradesh,telugu,1
animal,meatkillseveryone,1
ankittiwari,covid19,1
antvprogram,debinabonnerjee,1
ap,covid_19,1
apdeservesbetter,apinunsafehands,1
apocalypse,covid_19,1
arabs,coronavirus,1
arabs,muslims,1
armenia,coronavirus,1
armenia,coronaviruspandemic,1
armenia,covid19,1
armycdrnc,northerncomd,1
arogyasetuapp,covid19,1
asansol,indiafightscorona,1
asian,chinese,1
assam,covid19,1
athens,covid_19,1
athens,greece,1
attack,covid_19,1
attack,docusign,1
attack,exploits,1
avida,swachhbharat,1
avoidrumours,covid19,1
awaninews,englishnews,3
awaninews,hapuscovid19,3
awaninews,kekaltenang,1
backtoschool,covid,1
backtoschool,teachers,1
badru,coronavirus,1
badru,coronawarrior,1
baghdad,25_april,1
baghdad,iraq,1
baghdad,kimjongundead,1
baghdad,north_korea,1
baghdad,عهد_الانهيار,1
baghdadpost,coronadatavirus,1
baghdadpost,covid_19,1
bahrain,civicspace,1
bahrain,coronavirus,1
bahrain,covid19,1
bahrain,covid_19,1
bahrain,update,1
balochistan,covid_19,1
bankersunited,bankersunited,3
bankersunited,demonetization,2
bankfromhome,digitalbanking,1
bengal,covid19,1
bengaluru,covid,1
bengaluru,karnataka,1
bharat,covid_19,1
bihar,biharhealthdept,1
bihar,covid_19,1
bihar,nitishkumar,1
biharhealthdept,nitishkumar,1
biologicalwarfare,covid_19,1
biosectrx,covid19,1
biosectrx,covid_19,1
bjp,coronavirus,1
bollywood,dharavi,1
bolsonaro,covidー19,1
bolsonaro,kimjongun,1
bolsonaro,trump,1
breaking,baghdadpost,1
breaking,corona,2
breaking,coronadatavirus,1
breaking,coronavirus,1
breaking,coronavirusoutbreak,1
breaking,covid,1
breaking,covid19,1
breaking,covid_19,1
breaking,covid__19,1
breaking,odisha,1
breaking,yavatmal,1
breakthechain,covid19,1
bringhomesailors,seafareresarehumantoo,1
bsf,bsf,1
bsf,punjab,1
bts,coronavirus,1
byyourside,covidupdate,1
byyourside,fcm,1
callofboardexams,noexam,1
callofboardexams,saynotoboardexams,1
cautionyespanicno,coronavirusoutbreak,2
cautionyespanicno,covid19india,1
cautionyespanicno,indiafightscorona,1
cautionyespanicno,lockdown2,1
chatbots,ai,1
chatbots,tech,1
chennai,chennaicorporation,3
chennai,covid_19,1
chhattisgarh,virus,1
chinesevirus,covid_19,1
chinesevirus,indiafightscorona,1
chinesevirus,wuhanvirus,1
church,covid,1
churchnews,church,1
churchnews,covid,1
cinema,bigscreen,1
civicspace,update,1
climatechange,covid_19,1
cmpdi,asansol,1
cmpdi,indiafightscorona,1
cmpdi,ri,1
coimbatore,covid19,1
congress,covidー19,1
contestalert,kids,1
contestalert,lockdown,1
corona,afghanistan,1
corona,coronavirustruth,1
corona,covid,2
corona,covid_19,3
corona,covid__19,2
corona,indiafightscorona,1
corona,investinnpakisan,1
corona,lockdown,1
corona,lockdownhustle,1
corona,ramadan,1
corona,relief,1
corona,stopcoronavirus,1
corona,up,1
coronahoax,coronavirusliar,1
coronainpakistan,covid19vaccine,1
coronainpakistan,stayathomesavelives,1
coronainpakistan,stayhome,1
coronaoutbreak,covid_19,1
coronatest,covid_19,1
coronaupdate,covid19,1
coronaupdates,covid_19,1
coronaupdates,madhubani,1
coronavacccine,usa,1
coronavirus,abhishekbachchan,1
coronavirus,aden,1
coronavirus,ai,1
coronavirus,aishwaryaraibachchan,1
coronavirus,baghdadpost,1
coronavirus,bangladesh,1
coronavirus,chinesevirus,1
coronavirus,coronadatavirus,1
coronavirus,coronahoax,1
coronavirus,coronaoutbreak,1
coronavirus,coronaupdatesindia,1
coronavirus,coronavirusindia,1
coronavirus,coronavirusinindia,2
coronavirus,coronavirusinpakistan,2
coronavirus,coronavirusliar,1
coronavirus,coronavirusoutbreak,1
coronavirus,coronaviruspandemic,1
coronavirus,coronavirususa,1
coronavirus,covid,1
coronavirus,covid19,10
coronavirus,covid_19,16
coronavirus,covid__19,2
coronavirus,covidー19,2
coronavirus,cyberthreat,1
coronavirus,digitalmarketing,1
coronavirus,economy,1
coronavirus,fintech,1
coronavirus,health,2
coronavirus,indiafightscorona,1
coronavirus,indiafightscoronavirus,1
coronavirus,kimjongun,1
coronavirus,lockdown,1
coronavirus,lockdownindia,1
coronavirus,mco,1
coronavirus,mumbai,2
coronavirus,odisha,1
coronavirus,phase4,1
coronavirus,russia,1
coronavirus,stayathome,1
coronavirus,staysafe,1
coronavirus,stevemnuchin,1
coronavirus,taiz,1
coronavirus,testing,1
coronavirus,unemployment,1
coronavirus,usa,1
coronavirus,yemen,1
coronavirusbd,bangladesh,1
coronavirusbd,covid,1
coronaviruscrisis,covid19,1
coronaviruscrisis,world,1
coronavirusinindia,covid19,1
coronavirusinindia,covid_19,1
coronavirusinindia,local,1
coronavirusinindia,poor_people,1
