source,target,weight
199bn,crpf,1
1u,disinfectants,1
1u,notmeus,1
2019ncov,apfightscorona,1
2019ncov,who,1
25_april,عهد_الانهيار,1
25aprile,covid_19,1
25aprile,iorestolibero,1
25aprile,liberazione,1
2a41a,trump2020,1
2a41a,wwg1wga,1
2point6challenge,sundayvibes,1
3dprinting,bioprinting,1
3dprinting,coronavirus,1
3dprinting,covid19,1
411sports,entertainment,1
411sports,sports,1
498a,fakecases,1
498a,genocide,1
498a,india,1
498a,legalterrorism,1
498a,mentoo,1
498a,terrorism,1
4mentalhealth,thementalhealthfund,1
60minutes,covid19,1
7minutebriefing,covid_19,1
7minutebriefing,domesticabuse,1
7moredays,coronavirus,1
aa20,bellletstalk,1
aa20,covid_19,1
aa20,kidscantwait,1
aa20,spsm,1
aacr,cancer,1
aag,aag2020,3
abbakyarifact,covid_19,1
abbakyarifacts,covid_19,1
abbakyarifacts,covidiots,1
abhealth,covid19ab,1
abhinhitokabhinahi,ayurved,3
abhinhitokabhinahi,पूछता_है_उपेक्षित_आयुर्वेद,4
abidjan,africa,1
abidjan,cote_divoire,1
abidjan,ivory_coast,1
abmc,covid_19,1
abmc,healgen,1
abolishodishacontractualrules,equalpayforequalwork,1
abuja,stayhome,1
acapt,safeathome,1
accidentaldeaths,mentalhealth,1
acnh,antiquesroadshow,1
acnh,beyond_live,1
acnh,coronavirus,1
acnh,covid19,1
acnh,covid_19,1
activetravel,covid19,1
adaptability,businesscontinuity,1
adaptability,businessowner,1
adaptability,covid_19,1
adaptability,india,1
adaptability,jugad,1
afghanistan,rohingya,1
africa,coronavirus,2
africa,covid19,1
africa,lions,1
africa,lockdownkenya,1
africa,terrorism,1
africatrustfund,migrants,1
afrimusicsongcontes,bio,1
afrimusicsongcontes,covid19out,1
ag,info,1
age,aging,1
age,women,1
agerelaxation4ews,ews,1
agility,adaptability,1
agility,businesscontinuity,1
agility,businessowner,1
agility,covid_19,1
agility,india,1
agility,jugad,1
aging,women,1
agriculture,farming,1
ahmedabad,coronaupdate,1
ahmedabad,covid_19,1
ahmedabad,delhi,1
ahmedabad,gujarat,2
ai,analytics,1
ai,artificialintelligence,2
ai,business,1
ai,camera,1
ai,coronavirus,1
ai,dataanalytics,1
ai,datalakes,1
ai,fintech,1
ai,food,1
ai,iot,1
ai,learning,1
ai,machinelearning,3
ai,restaurants,1
ai,safe,1
airbnb,covid19,1
airbnb,georgia,1
aircharterservice,antonov124,1
aircharterservice,boeing747,1
airplane,religion,1
airpollution,coronavirus,1
airpollution,covid_19,2
airpollution,health,1
airpollution,india,1
airpollution,pollution,1
airtelpaymentsbank,airtelthanksapp,1
ajax,covi̇d_19,1
ajax,stayhome,1
ajaydevgn,ajaydevgn,1
ajaydevgn,akki,1
ajaydevgn,akkians,1
